Feature	Gain	Cover	Frequency
PTCSC1	24.1928280137534	0.0255466456334078	0.0235690235690236
ENSG00000287824	10.2000792522217	0.02252311467508	0.0202020202020202
ENSG00000288107	5.44415705743739	0.0126637745935761	0.0101010101010101
ENSG00000287832	4.71765779478357	0.00959642434599711	0.00673400673400673
ENSG00000288648	4.19771796284822	0.0268174050216905	0.0269360269360269
ENSG00000287723	4.13002090283933	0.0256781035011612	0.0202020202020202
ENSG00000288530	3.86863441289043	0.0342666841943824	0.0303030303030303
ENSG00000288581	3.83366600185588	0.0320319004425748	0.0269360269360269
ENSG00000287880	3.67328889684135	0.00490776039612637	0.00336700336700337
ENSG00000288026	3.50847830006734	0.0233995004601025	0.0202020202020202
ENSG00000287687	2.64408640311937	0.0294027430875071	0.0269360269360269
ENSG00000287943	2.60714165740246	0.0124446781473204	0.0168350168350168
ENSG00000287989	2.5112522937351	0.013321063932343	0.0202020202020202
ENSG00000288084	2.46650632154246	0.0103851715525174	0.0134680134680135
ENSG00000287907	2.35632516851204	0.0381666009377328	0.037037037037037
ENSG00000288153	2.17431770884857	0.0169142456509355	0.0168350168350168
ENSG00000287926	1.54063964511957	0.00666053196617151	0.00673400673400673
ENSG00000287794	1.50789562205593	0.00898295429648131	0.0134680134680135
ENSG00000288068	1.47873475077245	0.0122694009903159	0.0168350168350168
ENSG00000287704	1.46728563950906	0.010911003023531	0.0101010101010101
ENSG00000288060	1.13918441294038	0.00569650760264669	0.00673400673400673
ENSG00000288082	1.1068699653072	0.0136277989571009	0.0134680134680135
ENSG00000287684	1.0277178601759	0.0138907146926077	0.0269360269360269
NPBWR1	0.808035160787051	0.0209456202620394	0.0235690235690236
ENSG00000288016	0.753886899066029	0.00543359186713992	0.00673400673400673
ENSG00000288033	0.664384615380945	0.018447920774725	0.0168350168350168
ENSG00000288696	0.546365239162857	0.0147232811883791	0.0101010101010101
ENSG00000287836	0.382876724160484	0.00854476140397003	0.0101010101010101
ENSG00000287958	0.366670343716312	0.0120941238333114	0.0101010101010101
ENSG00000287894	0.36136898012128	0.0231365847245958	0.0168350168350168
ENSG00000287792	0.345139763310566	0.0134525218000964	0.0134680134680135
ENSG00000287939	0.33431294303544	0.0315060689715613	0.0303030303030303
ENSG00000288549	0.306675994637324	0.0256342842119101	0.0235690235690236
ENSG00000287833	0.260543140235308	0.0193681258489987	0.0202020202020202
ENSG00000287893	0.251654601523897	0.00319880811533237	0.00673400673400673
ENSG00000287951	0.25090410321796	0.0178782700144604	0.0134680134680135
ENSG00000287722	0.244130760480746	0.0246264405591341	0.0235690235690236
ENSG00000288532	0.242985615596324	0.00490776039612637	0.0101010101010101
ELOA3BP	0.242659680408113	0.0117435695193024	0.0101010101010101
ENSG00000287730	0.23322250698123	0.0127952324613295	0.0134680134680135
ENSG00000287992	0.15403656311978	0.0141098111388633	0.0101010101010101
ELOA3P	0.125753026378841	0.00714254414793392	0.00673400673400673
ENSG00000288531	0.124653677849566	0.00972788221375049	0.0134680134680135
ENSG00000287689	0.119644253375427	0.00118312080978047	0.00673400673400673
ENSG00000288717	0.115706969338341	0.00661671267692038	0.0101010101010101
ENSG00000288087	0.107075924145732	0.0192366679812453	0.0202020202020202
ENSG00000287742	0.102921009085967	0.00490776039612637	0.00673400673400673
ENSG00000288584	0.100410447277646	0.0234871390386048	0.0202020202020202
ENSG00000287755	0.0945553355090825	0.0061785197844091	0.00673400673400673
ENSG00000288043	0.0790855515079466	0.00736164059418956	0.00673400673400673
ENSG00000287840	0.0745869614939339	0.0109986416020332	0.0134680134680135
ENSG00000287964	0.0610453838583799	0.00762455632969633	0.0101010101010101
ENSG00000287991	0.0549055367636831	0.00950878576749485	0.0134680134680135
ENSG00000288540	0.0523460374759785	0.0116997502300513	0.0134680134680135
ENSG00000287754	0.0503069870733879	0.00127075938828272	0.00673400673400673
ENSG00000287775	0.0470558307721295	0.00889531571797905	0.00673400673400673
ENSG00000288015	0.0458945475893053	0.00490776039612637	0.00336700336700337
ENSG00000287979	0.0332267812675025	0.0142412690066167	0.0101010101010101
ENSG00000288039	0.0204840606412457	0.0142850882958678	0.0134680134680135
ENSG00000287761	0.0165419862492191	0.00740545988344069	0.00673400673400673
ENSG00000288022	0.00887032342187119	0.00858858069322116	0.0101010101010101
ENSG00000287877	0.00831580893202942	0.027649971517462	0.0202020202020202
ENSG00000288533	0.00334847074635251	0.013321063932343	0.0101010101010101
ENSG00000287827	0.00259626631546761	0.00210332588405416	0.00336700336700337
ENSG00000288349	0.00194670700434403	0.00972788221375049	0.0101010101010101
ENSG00000287844	0.0012595836192304	0.0032426274045835	0.00336700336700337
ENSG00000287696	0.000912755073179916	0.00578414618114894	0.0101010101010101
ENSG00000287971	0.000762489294845544	0.000482012181762412	0.00336700336700337
ENSG00000287961	0.00054299485394745	0.0058717847596512	0.00673400673400673
ENSG00000288172	0.000373711603559911	0.00547741115639104	0.00673400673400673
ENSG00000288690	0.000246689165607834	0.0190175715349897	0.0134680134680135
ENSG00000287714	0.000130809373327855	0.00964024363524824	0.00673400673400673
ENSG00000287822	8.11533681412127e-05	0.00981552079225275	0.00673400673400673
ENSG00000287903	5.695857467784e-05	0.00490776039612637	0.00336700336700337
ELOA3DP	8.33143589560104e-06	0.00319880811533237	0.00336700336700337
ENSG00000287950	6.96004341876718e-06	0.00184041014854739	0.00336700336700337
