MeanDecreaseAccuracy	features
2.05516967528982	ENSG00000287684
0.882321150078092	ENSG00000287687
6.32765157851217	ENSG00000287689
-1.47977273803575	ENSG00000287696
5.38899984796546	ENSG00000287704
1.53477265899065	ENSG00000287714
-1.72726648265365	ENSG00000287722
0.609382601533018	ENSG00000287723
2.4722221033212	ENSG00000287730
14.6516470378525	PTCSC1
-1.59204190556583	ENSG00000287742
0.263550759621515	ENSG00000287754
-0.246963408898881	ENSG00000287755
-1.48787139819958	ENSG00000287761
-1.27894041030667	ENSG00000287775
0.881376153231233	ENSG00000287792
4.56312867622407	ENSG00000287794
-0.686056121190455	ENSG00000287822
11.6930886106542	ENSG00000287824
-1.64751343529808	ENSG00000287827
4.30049286113821	ENSG00000287832
1.74792654319162	ENSG00000287833
1.19272080076776	ENSG00000287836
0.570794434122153	ENSG00000287840
6.42040951780245	ENSG00000287844
-2.32850783443527	ENSG00000287877
2.01453360520975	ENSG00000287880
-0.659692956479134	ENSG00000287893
2.09117723471394	ENSG00000287894
1.68512282740928	ENSG00000287903
2.0259527651008	ENSG00000287907
-2.22500789439226	ENSG00000287926
2.28066469364672	ENSG00000287939
1.86067365098674	ENSG00000287943
-3.05154518104921	ENSG00000287950
0.909860985689582	ENSG00000287951
-0.42999760403571	ENSG00000287958
0.503781417454156	ENSG00000287961
0.612557418530198	ENSG00000287964
-0.708201663645215	ENSG00000287971
-0.971267313938103	ENSG00000287979
-1.95090057502205	ENSG00000287989
-0.149043681787677	ENSG00000287991
-0.0890228346377998	ENSG00000287992
2.96619628977398	ENSG00000288015
-0.391558436668078	ENSG00000288016
-0.307762834037733	ENSG00000288022
3.68535974973923	ENSG00000288026
1.05011410411261	ENSG00000288033
0.526638354085225	ENSG00000288039
0.510355419528031	ENSG00000288043
-1.42684526309613	ENSG00000288060
-1.14620939349627	ENSG00000288068
-1.25289975909678	ENSG00000288082
-1.88040861928202	ENSG00000288084
0.540130300969809	ENSG00000288087
2.94461168032246	ENSG00000288107
-0.536353830976558	ENSG00000288153
-1.25722988850597	ENSG00000288172
-2.39947880271647	ENSG00000288349
0.938826155109928	ENSG00000288530
4.93483452410784	ENSG00000288531
-1.61651970412532	ENSG00000288532
-0.0895720169759562	ENSG00000288533
0.763830072824943	ENSG00000288540
0.0377509288315862	ENSG00000288549
3.76762033279384	ENSG00000288581
3.24207611915621	ENSG00000288584
-1.92914591629091	ELOA3BP
0.154131323898948	NPBWR1
-1.82307796706326	ELOA3DP
-0.919053250308293	ELOA3P
4.45609545946972	ENSG00000288648
-2.82761453035957	ENSG00000288656
0.960656268811351	ENSG00000288690
0.729956940666195	ENSG00000288694
5.7658619245197	ENSG00000288696
1.10668382451761	ENSG00000288717
