MeanDecreaseAccuracy	features
-0.693461614792697	ENSG00000287684
0.190092788330963	ENSG00000287687
0.159910834422601	ENSG00000287689
2.69525589997664	ENSG00000287696
0.381284251621549	ENSG00000287704
-1.41227721035483	ENSG00000287714
-0.481085831405817	ENSG00000287722
-3.38471028594284	ENSG00000287723
5.01987356947904	ENSG00000287730
5.02202076981101	PTCSC1
-2.28709340199257	ENSG00000287742
0.496810940317228	ENSG00000287754
-0.685572402476892	ENSG00000287755
-1.03012415938153	ENSG00000287761
-1.76919431101545	ENSG00000287775
-2.45064105961797	ENSG00000287792
2.25929542705193	ENSG00000287794
-0.154691808385209	ENSG00000287822
-0.709037916083723	ENSG00000287824
0.378572909414891	ENSG00000287827
-0.887818097379976	ENSG00000287832
1.97521806947053	ENSG00000287833
-1.97726714159481	ENSG00000287836
-1.48467786040025	ENSG00000287840
1.07898757932432	ENSG00000287844
-0.238313075278524	ENSG00000287877
-0.355630975397814	ENSG00000287880
-1.0977785727394	ENSG00000287893
0.227910706305132	ENSG00000287894
1.43240001163901	ENSG00000287903
2.09716477757252	ENSG00000287907
2.90358162059119	ENSG00000287926
0.600856129478124	ENSG00000287939
0.906238196107961	ENSG00000287943
0.713493619109679	ENSG00000287950
-0.940829161414013	ENSG00000287951
1.33364807540846	ENSG00000287958
0.612726417254186	ENSG00000287961
-1.28047027974712	ENSG00000287964
-0.81332588034628	ENSG00000287971
6.2554608967122	ENSG00000287979
0.413318647064875	ENSG00000287989
-0.169708051007937	ENSG00000287991
-0.899386278527225	ENSG00000287992
-1.13948351519093	ENSG00000288015
0.814468091848946	ENSG00000288016
-0.216238985455107	ENSG00000288022
0.178225652323877	ENSG00000288026
1.7574063220751	ENSG00000288033
-2.54086123747398	ENSG00000288039
3.00636801784941	ENSG00000288043
0.122270405161227	ENSG00000288060
-1.95806630064729	ENSG00000288068
-0.975359783819689	ENSG00000288082
0.715987621813508	ENSG00000288084
-1.4234288089102	ENSG00000288087
-0.605998193720114	ENSG00000288107
0.0433990292041108	ENSG00000288153
1.60215281181932	ENSG00000288172
-0.965880107089749	ENSG00000288349
8.67529295689548	ENSG00000288530
9.49937554115735	ENSG00000288531
0.124507804537654	ENSG00000288532
9.5466546070529	ENSG00000288533
2.46801425647338	ENSG00000288540
-2.39487829552449	ENSG00000288549
0.376419801641672	ENSG00000288581
2.16898727199396	ENSG00000288584
-0.956534544376837	ELOA3BP
1.5318142834768	NPBWR1
-1.29717629241027	ELOA3DP
-1.79080181532292	ELOA3P
-0.78420199062907	ENSG00000288648
0.617434502458619	ENSG00000288656
0.531433501438559	ENSG00000288690
3.3190948357261	ENSG00000288694
2.78702698362708	ENSG00000288696
0.84641642197175	ENSG00000288717
