Gene	featureScore	Group	prob
ENSG00000000938	0.0692659250376506	1	0.47612104300178
ENSG00000000971	0.127733720879476	1	0.568091858888174
ENSG00000001617	0.0841129816329427	1	0.539058515146002
ENSG00000001626	0.0504126955658586	2	0.47588542785301
ENSG00000002745	0.0666084275094277	3	0.499964959879878
ENSG00000002933	0.0129019118221216	2	0.396111930562291
ENSG00000003137	0.0406008665249813	3	0.473182037786101
ENSG00000003400	0.0207346037939947	1	0.395948152025938
ENSG00000003402	0.0332812376654259	1	0.402425258170253
ENSG00000003436	0.0419277844899378	1	0.4706463795447
ENSG00000003989	0.0368481635239983	1	0.458821412752638
ENSG00000004468	0.0686025373109339	2	0.482247693408162
ENSG00000004776	0.00198817528098028	1	0.352023786975208
ENSG00000004777	0.0162508968708436	1	0.422429069580364
ENSG00000004779	0.104902214695883	3	0.543790259318682
ENSG00000004799	0.0462201307961931	2	0.457593518708015
ENSG00000004864	0.0553860608141451	2	0.478023902260771
ENSG00000005059	0.0286375293682267	2	0.409857486063499
ENSG00000005381	0.023067980406261	3	0.44168218035285
ENSG00000005513	0.0520170350155432	2	0.496070439399354
ENSG00000005844	0.0692280355674408	2	0.510803518194493
ENSG00000006016	0.0467322942730624	1	0.440637446476686
ENSG00000006042	0.122771214390504	2	0.584232955831422
ENSG00000006062	0.00660773330864461	1	0.388984186608739
ENSG00000006128	0.218547959218902	3	0.644867864631344
ENSG00000006283	0.0613119871467726	1	0.419298598802465
ENSG00000006327	0.00519062362282829	2	0.362497480333016
ENSG00000006468	0.0740554029903571	3	0.515782675530213
ENSG00000006534	0.0211387828795268	2	0.435363829747414
ENSG00000006611	0.0562769243109713	2	0.500753849729803
ENSG00000006747	0.131696921148341	2	0.583794827101455
ENSG00000006831	0.0461598346152192	2	0.487069800914927
ENSG00000007038	0.00648756236873571	3	0.390248681954767
ENSG00000007062	0.00162339056112681	1	0.348111387869609
ENSG00000007171	0.0550637850925965	3	0.491214548836783
ENSG00000007372	0.00971205527637398	1	0.399110035799138
ENSG00000007516	0.0383703245724371	3	0.411982934793963
ENSG00000007866	0.0300137006799376	1	0.451618048039698
ENSG00000007908	0.00292560205756365	1	0.370484797194621
ENSG00000007968	0.000144872342349056	2	0.341713934643591
ENSG00000008394	0.00386054931436519	2	0.376100406044773
ENSG00000008441	0.00306783407753086	1	0.360346653156502
ENSG00000008517	0.00767647934396642	1	0.395225463571107
ENSG00000009709	0.0596140559636327	3	0.504217753626264
ENSG00000009950	0.0492416494680723	1	0.466274820011417
ENSG00000010278	0.117959019447435	2	0.560014480321386
ENSG00000010282	0.0614954225768898	2	0.496503490340129
ENSG00000010310	0.0245712008932578	2	0.44358619214032
ENSG00000010319	0.0155390992852456	1	0.421735096726923
ENSG00000010327	0.0904580034493494	1	0.441993099663492
ENSG00000010379	0.0697512046316111	1	0.52304806128146
ENSG00000010438	0.0776700813441344	3	0.53466672223591
ENSG00000010610	0.0272275086214724	2	0.44288620005741
ENSG00000010704	0.00726245690118932	2	0.379525154078219
ENSG00000011028	0.050697027802613	2	0.48241878001531
ENSG00000011304	0.0372245529459746	1	0.434859571639476
ENSG00000011422	0.0236185999062208	1	0.397828990613932
ENSG00000011426	0.187039278255136	2	0.63139798914271
ENSG00000011451	0.0557997561906669	1	0.500487359381675
ENSG00000011465	0.0234727101872836	1	0.442542194562479
ENSG00000011600	0.0624610493621106	2	0.513505876682436
ENSG00000012124	0.138682985601989	2	0.594004706438898
ENSG00000012171	0.112043538852049	2	0.575082375429751
ENSG00000012223	0.105359329468222	2	0.566394428335133
ENSG00000012504	0.00911599060985291	3	0.401036089039322
ENSG00000012779	0.0345550048165937	2	0.462163652985668
ENSG00000013297	0.241718251640487	2	0.666882524388906
ENSG00000013364	0.0561934035286029	2	0.477332610483343
ENSG00000013573	0.0033612866789795	1	0.364175785087696
ENSG00000013588	0.0698796064155901	1	0.498026045985636
ENSG00000013810	0.0277211799604826	1	0.452435329184936
ENSG00000014257	0.0136057680832951	2	0.405384391020446
ENSG00000014641	0.192604453456391	3	0.620446859674291
ENSG00000015520	0.0403435008144845	1	0.477520182653116
ENSG00000016391	0.040587786723779	1	0.464198163221501
ENSG00000016402	0.000295885084024228	1	0.340928167928596
ENSG00000016602	0.0901875245069651	2	0.541243258589536
ENSG00000018280	0.109326147354267	2	0.524986275672573
ENSG00000018408	0.108946460926081	2	0.441245958904754
ENSG00000019102	0.00581199197821258	1	0.383957815793432
ENSG00000019144	0.0686220898420754	2	0.520581011059117
ENSG00000019169	0.00304337951685141	3	0.363942185066596
ENSG00000019186	0.0231979216284687	3	0.441001005615
ENSG00000019582	0.0889411721047696	2	0.545057045228676
ENSG00000019991	0.0154333081790834	1	0.389856927370844
ENSG00000020181	0.0393131576728978	1	0.469353613788592
ENSG00000020577	0.0286382537465774	2	0.402353952295117
ENSG00000021300	0.0307559871255926	2	0.456481558605537
ENSG00000021355	0.0295388329310744	2	0.456337665465183
ENSG00000022355	0.244705356292065	3	0.679648334709139
ENSG00000022556	0.0410422230688102	3	0.475704796389024
ENSG00000023445	0.0162288550343724	2	0.405030235301119
ENSG00000024422	0.0801217358923273	1	0.521846031311085
ENSG00000025708	0.0284948892501138	2	0.448121077451402
ENSG00000025772	0.0753956825994345	3	0.530891582222049
ENSG00000026025	0.08805220817812	1	0.431746865380544
ENSG00000026036	0.0321158369708292	1	0.458576763917633
ENSG00000026103	0.00371413332887927	2	0.357953723632892
ENSG00000026508	0.272712770429743	2	0.694199451642053
ENSG00000026559	0.059775828827878	3	0.427264835269135
ENSG00000027075	0.0558396287331913	1	0.477713432500681
ENSG00000028116	0.106485524699418	2	0.56973517435258
ENSG00000028137	0.0705322096204207	2	0.444604757005038
ENSG00000029534	0.0455417872935758	3	0.454271416511416
ENSG00000030419	0.0152742935912216	2	0.420735202669289
ENSG00000033327	0.0236671910498762	2	0.442171797140674
ENSG00000034239	0.0185946621110353	3	0.422351423514296
ENSG00000035403	0.0229529173044427	1	0.439223148547035
ENSG00000035664	0.0337689567030518	2	0.464684607079981
ENSG00000037280	0.0464328686400928	1	0.487928114524533
ENSG00000038002	0.0969336582464615	2	0.449814785361649
ENSG00000038427	0.0234235304568832	2	0.436883598687683
ENSG00000038945	0.0939747889875666	2	0.54729367330443
ENSG00000039068	0.0496809301987127	2	0.468612172892245
ENSG00000039523	0.0633164292498841	1	0.47869560457671
ENSG00000039560	0.0354736357685435	2	0.457766910946294
ENSG00000040531	0.0243832329526371	2	0.417926545314068
ENSG00000040608	0.0553342977980361	3	0.469500312523501
ENSG00000041353	0.283670891139124	3	0.700345581900326
ENSG00000041982	0.19590421302916	2	0.654028473785059
ENSG00000042062	0.0690534165385601	1	0.511738423897624
ENSG00000042493	0.0947224136720428	2	0.530996220263032
ENSG00000042753	0.0691312257988259	3	0.511270002502878
ENSG00000042980	0.0633875692005417	2	0.490301630597978
ENSG00000043355	0.0699217792434756	1	0.524089625900322
ENSG00000043462	0.00555227706117634	2	0.373104654726611
ENSG00000044524	0.0472521457131259	3	0.485135216874169
ENSG00000044574	0.00273740679627232	3	0.369831212298217
ENSG00000046604	0.0223633325202343	3	0.430887577175772
ENSG00000047457	0.269784928007621	2	0.567989913027183
ENSG00000047617	0.0970177611619518	1	0.551115967500475
ENSG00000047936	0.0918868592980208	3	0.514744818421655
ENSG00000049089	0.0794270316786715	2	0.534938445769289
ENSG00000049130	0.107316557556075	3	0.567058663179426
ENSG00000049239	0.0167706593071762	2	0.388290041043927
ENSG00000049283	0.0513755829856142	3	0.439787738997529
ENSG00000049323	0.0333874926766705	2	0.426158779475155
ENSG00000049540	0.0215229792717949	1	0.406965017833201
ENSG00000050327	0.0109287532848489	2	0.371534355444883
ENSG00000050555	0.00662562928542798	1	0.37959257784231
ENSG00000050628	0.0853501568998278	3	0.543340619744709
ENSG00000051523	0.046544071549823	2	0.468452270688196
ENSG00000051620	0.0349917163139944	1	0.440603808557443
ENSG00000052802	0.0746118378952176	3	0.50675137528414
ENSG00000053108	0.0791637825527556	3	0.508433259279351
ENSG00000053438	0.0818216997411859	3	0.53910174865003
ENSG00000053702	0.00555038200330471	2	0.361475067808333
ENSG00000053747	0.054782674593439	1	0.498711756067865
ENSG00000054179	0.0162666118929691	1	0.389923286575551
ENSG00000054598	0.130339937768005	1	0.590997118633856
