Gene	featureScore	Group	prob
ENSG00000198467	0.212336524313843	1	0.668266867021366
ENSG00000188783	0.201173416460635	1	0.657556861074353
ENSG00000198959	0.181506899731077	1	0.625718499348728
ENSG00000133392	0.17960169067273	1	0.640064748438442
ENSG00000183963	0.178583642191986	1	0.627570072809517
ENSG00000149257	0.177408499304237	1	0.59737323500417
ENSG00000096696	0.173689588102761	1	0.636141920400042
ENSG00000256443	0.169496798570222	1	0.607752710808769
ENSG00000101187	0.169077399268827	1	0.63164620939647
ENSG00000180229	0.154124346904222	1	0.590375857504639
ENSG00000163638	0.150504190580779	1	0.515926121939498
ENSG00000161681	0.146486290991013	1	0.553841028609838
ENSG00000137834	0.141050516913072	1	0.591342242274553
ENSG00000130702	0.14086651035238	1	0.605768747622956
ENSG00000137507	0.139599982964501	1	0.585477868104148
ENSG00000142798	0.139203910128244	1	0.565623513379556
ENSG00000130635	0.137823410335542	1	0.593434695171296
ENSG00000184557	0.135991708523639	1	0.484019602397442
ENSG00000161638	0.1347444559646	1	0.554645216472212
ENSG00000124440	0.134251178402814	1	0.596316369645976
ENSG00000204389	0.131338279684259	1	0.525297869692723
ENSG00000054598	0.130339937768005	1	0.590997118633856
ENSG00000149591	0.130275292991373	1	0.549917814324628
ENSG00000177575	0.130234532491211	1	0.543381552911423
ENSG00000000971	0.127733720879476	1	0.568091858888174
ENSG00000106211	0.126114993656536	1	0.563396287063621
ENSG00000162522	0.125233084019311	1	0.538376403271447
ENSG00000280287	0.124329784677223	1	0.568946877207263
ENSG00000152049	0.122459185241511	1	0.493285009104962
ENSG00000168874	0.121173736038469	1	0.543878068569071
ENSG00000115602	0.120634736696945	1	0.564885244434692
ENSG00000167889	0.119639146754941	1	0.463825869299106
ENSG00000267107	0.116382283549645	1	0.573518017685524
ENSG00000196739	0.112766428745397	1	0.571576899154703
ENSG00000074181	0.111793575902282	1	0.56120188390298
ENSG00000175084	0.111133701751414	1	0.57441881772539
ENSG00000158815	0.109202396738975	1	0.556449021366281
ENSG00000143127	0.108513006561979	1	0.569247886861237
ENSG00000138119	0.108503963494818	1	0.471019003575109
ENSG00000149451	0.108469299842192	1	0.57189470950482
ENSG00000184113	0.108424768809757	1	0.563518748793985
ENSG00000276550	0.107889450137596	1	0.564497064007469
ENSG00000230606	0.107853331371614	1	0.531545937604608
ENSG00000101335	0.10777695021812	1	0.568369546748472
ENSG00000165507	0.107766276510058	1	0.533084874152159
ENSG00000187498	0.107689936323928	1	0.550599212139979
ENSG00000164638	0.107483756973235	1	0.526357007956354
ENSG00000077238	0.107230555925116	1	0.486639424329812
ENSG00000183248	0.106804120680642	1	0.460399001749297
ENSG00000261371	0.106267944565561	1	0.544914986497486
ENSG00000151929	0.105783320502565	1	0.53122063880344
ENSG00000221869	0.104902449962494	1	0.527122044893407
